"asiasanat","ilmestymispäivä","käytön päättyminen","nimellisarvo","merkin nimi","merkin väri","painopaikka","painosmäärä","taiteilija","valuutta","kuvan_url"
"musiikki orkesteritoiminta säveltaide kapellimestari Erik Ferling Turun Soitannollinen Seura yhdistys ","26.01.1990","31.12.2011","1,90","Orkesteritoiminta Suomessa 200 vuotta","","Frenckellin Kirjapaino Oy","6000000","Asser Jaaro","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1118.jpg"
"vaakuna leijona 1975","01.03.1990","31.12.2011","2","Malli 1975 Vaakuna","vihreä","Suomen Pankin Setelipaino","5800000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1119.jpg"
"invalidi mitali kunniamerkki yhdistys sotaveteraani vammaisuus avustusjärjestö sotainvalidien veljesliitto","13.03.1990","31.12.2011","2","Sotainvalidien Veljesliitto 50 vuotta","","Suomen Pankin setelipaino","6000000","Susanna Rumpu, Ari Lakaniemi","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1120.jpg"
"lumihiutale rauhansopimus sota talvisota toinen maailmansota maanpuolustus","13.03.1990","31.12.2011","2","Talvisodan päättymisestä 50 vuotta","","Suomen Pankin setelipaino","6000000","Nils Fredriksson","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1121.jpg"
"Kristiina kuningatar hevonen sinetti  valtionhallinto opetustoimi opetus koulutus korkeakoulu yliopisto Helsingin muotokuva maalaustaide taide kuvataide","26.03.1990","31.12.2011","2","Helsingin yliopisto 350 vuotta","","Frenckellin Kirjapaino Oy","6000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1122.jpg"
"Carl Ludvig Engel empire kulkue sinetti arkkitehtuuri uusklassismi opetus arkkitehtuuri rakennus valtionhallinto opetustoimi korkeakoulu Helsinki Helsingin yliopisto Senaatintori tori ","26.03.1990","31.12.2011","3,20","Helsingin yliopisto 350 vuotta","","Frenckellin Kirjapaino Oy","6000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1123.jpg"
"cept europa kansainvälinen yhteistyö järjestö  Lappi saamelainen Nuvvus Ailigas tunturi postitalo rakennus kansainvälisyys postinkuljetus kuljetus","26.03.1990","31.12.2011","2","Nuvvuksen postitalo","","Suomen Pankin setelipaino","8000000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1124.jpg"
"posti arkkitehtuuri cept europa kansainvälinen yhteistyö järjestö  Turku lajittelukeskus postikeskus rakennus postinkuljetus","26.03.1990","31.12.2011","2,70","Turun postikeskus","","Suomen Pankin setelipaino","4000000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1125.jpg"
"eläin hyönteinen punainen risti perhonen loistokultasiipi heodes virgaureae kultapiisku luonto avustus lisämaksu avustustoiminta","06.04.1990","31.12.2011","1,50","Perhosia - Loistokultasiipi","","Helio Courvoisier, Sveitsi","700000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1126.jpg"
"eläin hyönteinen punainen risti perhonen hopeasinisiipi agrodiaetus amandus niittynätkelmä luonto avustus lisämaksu avustustoiminta","06.04.1990","31.12.2011","2","Perhosia - Hopeasinisiipi","","Helio Courvoisier, Sveitsi","1000000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1127.jpg"
"eläin hyönteinen punainen risti perhonen neitoperhonen inachis io riikinkukon silmä hiirenvirna luonto avustus lisämaksu avustustoiminta","06.04.1990","31.12.2011","2,70","Perhosia - Neitoperhonen","","Helio Courvoisier, Sveitsi","700000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1128.jpg"
"posti postinkuljetus postinjakelu Larsmo kirkko tie maalaiskirjeenkanto maaseutu maalaismaisema","11.05.1990","31.12.2011","2","Maalaiskirjeenkanto 100 vuotta Suomessa","","Suomen Pankin setelipaino","6000000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1129.jpg"
"Satu sadunkuvittaja Rudolf Koivu Ali Baba ja neljäkymmentä rosvoa Tuhannen ja yhden yön satuja tanssi kuvitus kirjallisuus lastenkirjallisuus","29.08.1990","31.12.2011","2","Rudolf Koivu, Ali Baba ja neljäkymmentä rosvoa","","Suomen Pankin setelipaino","900000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1130.jpg"
"Satu sadunkuvittaja Rudolf Koivu Raul Roine viulu Satu suuresta soittoniekasta maisema luonto musiikki kuvitus lastenkirjallisuus kirjallisuus","29.08.1990","31.12.2011","2","Rudolf Koivu, Satu suuresta soittoniekasta","","Suomen Pankin setelipaino","900000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1131.jpg"
"Satu sadunkuvittaja Rudolf Koivu Satu jättiläisistä, noidista ja auringon tyttärestä metsä kuvitus lastenkirjallisuus noita kirjallisuus","29.08.1990","31.12.2011","2","Rudolf Koivu, Satu jättiläisistä, noidista ja auringon tyttärestä","","Suomen Pankin setelipaino","900000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1132.jpg"
"Satu sadunkuvittaja Rudolf Koivu Grimm Kultalintu, kultahevonen ja prinsessa linna prinssi lintu puu kuvitus lastenkirjallisuus","29.08.1990","31.12.2011","2","Rudolf Koivu, Kultalintu, kultahevonen ja prinsessa","","Suomen Pankin setelipaino","900000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1133.jpg"
"Satu sadunkuvittaja Rudolf Koivu Karitsaveli kuvitus lastenkirjallisuus","29.08.1990","31.12.2011","2","Rudolf Koivu, Karitsaveli","","Suomen Pankin setelipaino","900000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1134.jpg"
"Satu sadunkuvittaja Rudolf Koivu Hans Christian Andersen Lumikuningatar kuningatar reki kelkka kuvitus lastenkirjallisuus kirjallisuus","29.08.1990","31.12.2011","2","Rudolf Koivu, Lumikuningatar","","Suomen Pankin setelipaino","900000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1135.jpg"
"eläin hevonen kotieläin harrastus ratsastus ruokinta ratsu","09.10.1990","31.12.2011","2","Nuorten harrastuksia - Ratsastus","","Suomen Pankin setelipaino","750000","Torsten Ekström","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1136.jpg"
"hevonen eläin kotieläin harrastus ratsastus ratsu","09.10.1990","31.12.2011","2","Nuorten harrastuksia - Ratsastus","","Suomen Pankin setelipaino","750000","Torsten Ekström","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1137.jpg"
"poni kotieläin eläin harrastus ratsastus","09.10.1990","31.12.2011","2","Nuorten harrastuksia - Ratsastus","","Suomen Pankin setelipaino","750000","Torsten Ekström","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1138.jpg"
"hevonen kotieläin eläin  harrastus pienoisarkki ratsastus ratsu","09.10.1990","31.12.2011","2","Nuorten harrastuksia - Ratsastus","","Suomen Pankin setelipaino","750000","Torsten Ekström","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1139.jpg"
"joulu joulumaa tonttu posti kirje perinne kansanperinne vuotuisjuhlat","02.11.1990","31.12.2011","1,70","Joulupukin kirjeet","","Suomen Pankin setelipaino","36000000","Marjaliisa Pitkäranta","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1140.jpg"
"joulu joulupukki poro eläin kotieläin perinne kansanperinne vuotuisjuhlat","02.11.1990","31.12.2011","2","Joulupukki poroineen","","Suomen Pankin setelipaino","10000000","Marjaliisa Pitkäranta","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1141.jpg"
"pihlaja kasvi puu luonto maakuntakukka Pohjois-Savo marja sorbus aucuparia","05.02.1991","31.12.2011","2,10","Maakuntakukat - Pihlaja","","Setec","74235000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1142.jpg"
"tyrni kasvi luonto Satakunta maakuntakukka Tyrni Hippophae rhamnoides marja ","05.02.1991","31.12.2011","2,90","Maakuntakukat - Tyrni","","Setec","11325000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1143.jpg"
"Varsinais-Suomi puu tammi kasvi luonto maakuntakukka Quercus robus","05.02.1991","31.12.2011","3,50","Maakuntakukat - Tammi","","Setec","21350500","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1144.jpg"
"Urheilu jääkiekko mm-kisat maailmanmestaruuskisat  urheilukilpailut joukkueurheilu Turku Turun linna","01.03.1991","31.12.2011","2,10","Jääkiekon MM-kisat","","Setec","5000000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1145.jpg"
"Opetus kotitalous koulutus kotitalousopettajakoulutus","01.03.1991","31.12.2011","2,10","Kotitalousopettajakoulutus 100 vuotta","","Frenckellin Kirjapaino Oy","5000000","Marjaliisa Pitkäranta","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1146.jpg"
"Taide maalaustaide hedelmä Vihreä asetelma Helene Schjerfbeck kuvataide stilleben nature morte Ateneum lisämaksu Pro filatelia","08.03.1991","31.12.2011","2,10","Helene Schjerfbeck, Vihreä asetelma","","Setec","500000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1147.jpg"
"Toipilas maalaustaide kuvataide Helene Schjerfbeck taide  Ateneum lisämaksu Pro filatelia","08.03.1991","31.12.2011","2,10","Helene Schjerfbeck, Toipilas ","","Setec","500000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1148.jpg"
"Lintu talitiainen eläin luonto parus major","20.03.1991","31.12.2011","0,10","Lintuja - Talitiainen    ","","Setec","5600000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1149.jpg"
"Lintu peippo eläin luonto Fringilla coelebs","20.03.1991","31.12.2011","0,60","Lintuja - Peippo ","","Setec","2800000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1150.jpg"
"Lintu punatulkku pihlaja puu eläin luonto pyrrhula pyrrhula","20.03.1991","31.12.2011","2,10","Lintuja - Punatulkku  ","","Setec","5600000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1151.jpg"
"eläin kala kalastus perho taimen luonto korento virkistyskalastus harrastus järvi","20.03.1991","31.12.2011","2,10","Kalastus - Perhokalastus","","Setec","1500000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1152.jpg"
"Eläin kala kalastus onki ahven luonto virkistyskalastus harrastus järvi","20.03.1991","31.12.2011","2,10","Kalastus - Onginta","","Setec","1500000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1153.jpg"
"Eläinkunta äyriäinen rapu ravustus luonto merta järvi","20.03.1991","31.12.2011","2,10","Kalastus - Ravustus","","Setec","1500000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1154.jpg"
"kala kalastus verkko silakka trooli kalatalous lintu lokki","20.03.1991","31.12.2011","2,10","Kalastus - Troolaus","","Setec","1500000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1155.jpg"
"Eläin kala siika luonto kalatalous ","20.03.1991","31.12.2011","2,10","Kalastus - Kalojen istutus","","Setec","1500000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1156.jpg"
"turismi matkailu pohjola seurasaari ulkomuseo museo saari Pohjola pohjoismainen kansainvälinen järjestö yhteistyö Pohjoismaiden postiliitto","04.06.1991","31.12.2011","2,10","Seurasaaren ulkomuseo","","Frenckellin Kirjapaino Oy","6000000","Erik Bruun","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1157.jpg"
"turismi matkailu pohjola Saimaa höyrylaiva laivaliikenne Pohjola pohjoismainen kansainvälinen järjestö yhteistyö Pohjoismaiden postiliitto","04.06.1991","31.12.2011","2,90","Saimaa","","Frenckellin Kirjapaino Oy","3000000","Erik Bruun","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1158.jpg"
"Avaruustutkimus cept europa kansainvälinen yhteistyö järjestö  kartta tutkimus","07.06.1991","31.12.2011","2,10","Avaruusajan Eurooppa","","Setec","6000000","Tarja Salonen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1159.jpg"
"Avaruustutkimus cept europa kansainvälinen yhteistyö järjestö satelliitti antenni cept tutkimus tietoliikenne","07.06.1991","31.12.2011","2,90","Avaruusajan Eurooppa","","Setec","3000000","Tarja Salonen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1160.jpg"
"Taide keramiikka astia maljakko Alfred William Finch Iris taidemaalari kansallisromantiikka Porvoo taideteollisuus taidekäsityö taiteilija yhteisjulkaisu","07.09.1991","31.12.2011","2,10","A.W. Finch, Iris-keramiikkaa","","Setec","4000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1161.jpg"
"Maalaustaide taide kuvataide Englanti Alfred William Finch Dover rannikko pointillismi maisema taidemaalari yhteisjulkaisu","07.09.1991","31.12.2011","2,90","A.W. Finch, Doverin rannikko","","Setec","2000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1162.jpg"
"Fazer kiss kissa makeiset karkki kissanpentu makeisteollisuus karamelli elintarviketeollisuus","17.09.1991","31.12.2011","2,10","Makeisteollisuus Suomessa 100 vuotta","","Helio Courvoisier, Sveitsi","5000000","Osmo Omenamäki","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1163.jpg"
"Aurinko atk taide kuvataide Pikku Kakkonen piirustuskilpailu kilpailu yleisradio Kaisa Niemi","17.09.1991","31.12.2011","2,10","Kaisa Niemi, Aurinko","","Setec","689596","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1164.jpg"
"sateenkaari atk taide kuvataide piirustuskilpailu kilpailu Pikku Kakkonen yleisradio Elina Aro","17.09.1991","31.12.2011","2,10","Elina Aro, Sateenkaari	","","Setec","689596","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1165.jpg"
"lehmä atk taide eläin kuvataide piirustuskilpailu kilpailu Pikku Kakkonen yleisradio Noora Kaunisto","17.09.1991","31.12.2011","2,10","Noora Kaunisto, Lehmät laitumella","","Setec","689596","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1166.jpg"
"urheilu talviurheilu hiihto laskettelu pujottelu harrastus liikunta ","04.10.1991","31.12.2011","2,10","Nuorten harrastuksia - Laskettelu","","Setec","750000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1167.jpg"
"urheilu talviurheilu hiihto laskettelu lumilautailu harrastus liikunta","04.10.1991","31.12.2011","2,10","Nuorten harrastuksia - Laskettelu","","Setec","750000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1168.jpg"
"urheilu talviurheilu hiihto laskettelu free-style liikunta harrastus","04.10.1991","31.12.2011","2,10","Nuorten harrastuksia - Laskettelu","","Setec","750000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1169.jpg"
"urheilu talviurheilu hiihto laskettelu syöksylasku liikunta harrastus","04.10.1991","31.12.2011","2,10","Nuorten harrastuksia - Laskettelu","","Setec","750000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1170.jpg"
"kaupunki Iisalmi Savo Paloisvirta silta Suomi rakennus kirkko suihkulähde vaakuna silta","18.10.1991","31.12.2011","2,10","Iisalmi 100 vuotta","","Setec","5000000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1171.jpg"
"Joulu juhla orava jänis kettu eläin kynttilä tonttu perinne kansanperinne vuotuisjuhlat","01.11.1991","31.12.2011","1,80","Metsänväen joulu","","Setec","33000000","Marjaliisa Pitkäranta","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1172.jpg"
"Joulupukki reki lahja poro perinne kansanperinne vuotuisjuhlat","01.11.1991","31.12.2011","2,10","Joulupukki reessä","","Setec","15000000","Marjaliisa Pitkäranta","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1173.jpg"
"Tiede tutkimus kemia astia molekyyli stereokuva","01.11.1991","31.12.2011","2,10","Kemia","","Setec","2500000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1174.jpg"
"Tiede tutkimus kemia astia molekyyli stereokuva ","01.11.1991","31.12.2011","2,10","Kemia","","Setec","2500000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1175.jpg"
"Talviolympialaiset Albertville Ranska hiihto olympialaiset urheilu urheilukilpailut liikunta talviurheilu","04.02.1992","31.12.2011","2,10","Olympiakisat Albertvillessä 1992","","Frenckellin Kirjapaino ","4000000","Torsten Ekström","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1176.jpg"
"Kesäolympialaiset Barcelona Espanja olympialaiset liikunta urheilu urheilukilpailut uinti","04.02.1992","31.12.2011","2,90","Olympiakisat Barcelonassa 1992","","Frenckellin Kirjapaino ","5000000","Torsten Ekström","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1177.jpg"
"Kullero maakuntakukka Lappi kukka kasvi luonto  trollius europaeus","02.03.1992","","2","Maakuntakukat - Kullero","","Setec","29150000","Paavo Huovinen","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1178.jpg"
"sinivuokko maakuntakukka Häme kukka kasvi luonto hepatica nobilis","02.03.1992","","1","Maakuntakukat - Sinivuokko","","Setec","83675000","Paavo Huovinen","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1179.jpg"
"etyk kansainvälinen kokous turvallisuus eurooppa yhteistyö Euroopan turvallisuus- ja yhteistyökonferenssi Helsinki Eurooppa kartta","20.03.1992","31.12.2011","16,00","ETYK:n seurantakokous","","The House of Questa, Englanti","3000000","Osmo Omenamäki","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1180.jpg"
"expo maailmannäyttely Sevilla Espanja näyttelypaviljonki Helvetinkolu arkkitehtuuri Juha jääskeläinen Juha Kaakko Petri Rouhiainen Matti Sanaksenaho Jari Tirkkonen","20.03.1992","31.12.2011","3,40","Expo '92 Sevilla","","Setec","6000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1181.jpg"
"aivot terveys pää neurologia aivotutkimus tutkimus tiede terveet aivot -projekti","27.03.1992","31.12.2011","3,50","Terveet aivot","","Setec","5000000","Kyösti Varis","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1182.jpg"
"Rauma kaupunki rakennus purjelaiva satama kirkko telakka vaakuna ","27.03.1992","31.12.2011","2,10","Rauma 550 vuotta","","Setec","5000000","Eeva Oivo","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1183.jpg"
"eläin lintu västäräkki  Motacilla Alba  luonto","22.04.1992","31.12.2011","0,10","Linnut - Västäräkki","","Setec","3600000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1184.jpg"
"eläin lintu  punarinta Erithecus rubecula luonto","22.04.1992","31.12.2011","0,60","Linnut - Punarinta","","Setec","1800000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1185.jpg"
"eläin lintu  tilhi Bombycilla garrulus luonto","22.04.1992","31.12.2011","2,10","Linnut - Tilhi","","Setec","3600000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1186.jpg"
"eläin luonto avustus perhonen sokeainkirjoitus rusoharmoyökkönen xestria brunneoptica lisämaksu avustustoiminta Punainen Risti","22.04.1992","31.12.2011","1,60","Perhosia - Rusoharmoyökkönen","","Setec","800000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1187.jpg"
"perhonen sokeainkirjoitus eläin luonto avustus pohjansiilikehrääjä acerbia alpina lisämaksu avustustoiminta Punainen Risti","22.04.1992","31.12.2011","2,10","Perhosia - Pohjansiilikehrääjä","","Setec","800000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1188.jpg"
"perhonen sokeainkirjoitus eläin luonto avustus nunnamittari Baptria tibialessp. fennica lisämaksu avustustoiminta Punainen Risti","22.04.1992","31.12.2011","5","Perhosia - Nunnamittari","","Setec","800000","Raimo Sallinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1189.jpg"
"hologrammi teknologia patentti keksintö patentti- ja rekisterihallitus  puhallinkone","08.05.1992","31.12.2011","2,10","Suomalainen teknologia - Patentit","","Setec","1000000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1190.jpg"
"hologrammi Eureka Eurooppa kansainvälinen yhteistyö teknologia ","08.05.1992","31.12.2011","2,90","Suomalainen teknologia - Eureka","","Setec","1000000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1191.jpg"
"hologrammi tiede tutkimuslaitos  Valtion teknillinen tutkimuskeskus VTT  teknologia","8.5.1992","31.12.2011","3,40","Suomalainen teknologia - VTT","","Setec","1000000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1192.jpg"
"Amerikka Kristoffer Kolumbus purjelaiva löytöretki tutkimusmatka kartta Santa Maria cept europa kansainvälinen yhteistyö järjestö merenkulku purjehdus","8.5.1992","31.12.2011","2,10","Santa Maria","","Setec","4000000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1193.jpg"
"Amerikka Kristoffer Kolumbus löytöretki tutkimusmatka kartta cept europa kansainvälinen yhteistyö järjestö merenkulku ","4.6.1992","31.12.2011","2,10","Kristoffer Kolumbus","","Setec","4000000","Heikki Nuutinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1194.jpg"
"maatalous metsätalous maatilahallitus maanviljely sadonkorjuu ","4.6.1992","31.12.2011","2,10","Moderni maatalous -  Maatilahallitus 100 vuotta ","","Frenckellin Kirjapaino ","5000000","Marjaliisa Pitkäranta","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1195.jpg"
"Aurora Karamzin lahjoittaja sairaanhoito Diakonissalaitos mesenaatti hyväntekeväisyys muotokuva","8.6.1992","31.12.2011","2,10","Suomalaisia naisvaikuttajia - Aurora Karamzin","","Setec","600000","Pirkko Juvonen-Valtonen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1196.jpg"
"Sofie Mannerheim sairaanhoitajakoulutus opetus koulutus sairaanhoito muotokuva","8.6.1992","31.12.2011","2,10","Suomalaisia naisvaikuttajia - Sofie Mannerheim","","Setec","600000","Pirkko Juvonen-Valtonen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1197.jpg"
"Laimi Leidenius lääkäri professori synnytys koulutus opetus lääketiede muotokuva","8.6.1992","31.12.2011","2,10","Suomalaisia naisvaikuttajia - Laimi Leidenius","","Setec","600000","Pirkko Juvonen-Valtonen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1198.jpg"
"Miina Sillanpää ministeri sosiaalityö valistus  kansanedustaja muotokuva","8.6.1992","31.12.2011","2,10","Suomalaisia naisvaikuttajia - Miina Sillanpää","","Setec","600000","Pirkko Juvonen-Valtonen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1199.jpg"
"Edith Södergran runoilija modernismiruno kirjallisuus lyriikka muotokuva","8.6.1992","31.12.2011","2,10","Suomalaisia naisvaikuttajia - Edith Södergran","","Setec","600000","Pirkko Juvonen-Valtonen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1200.jpg"
"Kreeta Haapasalo kansantaiteilija laulaja säveltaidekansanlaulu kantele musiikki kansanmusiikki","8.6.1992","31.12.2011","2,10","Suomalaisia naisvaikuttajia- Kreeta Haapasalo","","Setec","600000","Pirkko Juvonen-Valtonen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1201.jpg"
"itsenäisyys suomalaisuus Suomen lippu puu koivu kilpailu piirustuskilpailu luonto Niina Pennanen Pikku Kakkonen yleisradio juhlavuosi","5.10.1992","31.12.2011","2,10","Niina Pennanen, Suomalaisuus","monivärinen ","Setec","6000000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1202.jpg"
"itsenäisyys juhlavuosi","5.10.1992","31.12.2011","2,10","Suomi 75 vuotta","","Setec","1500000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1203.jpg"
"muumipeikko muumit Tove Jansson satu taikatalvi kuvitus  talvi kirjallisuus lastenkirjallisuus","9.10.1992","31.12.2011","2,10","Muumeja - Tove Jansson, Taikatalvi","","Setec","1000000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1204.jpg"
"muumit muumipeikko Tove Jansson satu Taikatalvi kuvitus mörkö Pikku Myy kirjallisuus lastenkirjallisuus","9.10.1992","31.12.2011","2,10","Muumeja - Tove Jansson, Taikatalvi","","Setec","1000000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1205.jpg"
"muumit Tove Jansson satu Vaarallinen juhannus kuvitus teatteri vene kirjallisuus lastenkirjallisuus","9.10.1992","31.12.2011","2,10","Muumeja - Tove Jansson, Vaarallinen juhannus","","Setec","1000000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1206.jpg"
"muumipeikko muumit Tove Jansson satu Näkymätön Pikku Myy Tuutikki Nuuskamuikkunen kuvitus kirjallisuus lastenkirjallisuus","9.10.1992","31.12.2011","2,10","Muumeja - Tove Jansson, Näkymätön lapsi","","Setec","1000000","Pirkko Vahtero","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1207.jpg"
"Maakuntakukka  Etelä-Pohjanmaa kukka kasvi luonto  Maitohorsma Horsma Chamaenérium angustifolium ","9.10.1992","","1","Maakuntakukat - Maitohorsma","","Setec","","Paavo Huovinen","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1208.jpg"
"kirjapainotaito painotekniikka atk ladonta ","20.10.1992","31.12.2011","2,10","Suomalainen Kirjapainotaito 350 vuotta","","Frenckellin Kirjapaino ","5000000","Asser Jaaro","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1209.jpg"
"Helsingin pitäjän kirkko Pyhän Laurin kirkko  joulu tähti keskiaika juhla kellotapuli uskonto perinne vuotuisjuhlat","30.10.1992","31.12.2011","1,80","Helsingin pitäjän kirkko","","Setec","26000000","Torsten Ekström","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1210.jpg"
