"asiasanat","ilmestymispäivä","käytön päättyminen","nimellisarvo","merkin nimi","merkin väri","painopaikka","painosmäärä","taiteilija","valuutta","kuvan_url"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,04","Venäläinen malli 1891 Rengasmerkki","karmiininpunainen","Venäjän valtion arvopaperipaino","481900","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0046.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,07","Venäläinen malli 1891 Rengasmerkki","sininen","Venäjän valtion arvopaperipaino","7646275","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0047.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,10","Venäläinen malli 1891 Rengasmerkki","sininen","Venäjän valtion arvopaperipaino","981100","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0048.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,14","Venäläinen malli 1891 Rengasmerkki","sininen / punainen","Venäjän valtion arvopaperipaino","558300","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0049.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,20","Venäläinen malli 1891 Rengasmerkki","sininen / punainen","Venäjän valtion arvopaperipaino","486700","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0050.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,35","Venäläinen malli 1891 Rengasmerkki","violetti / vihreä","Venäjän valtion arvopaperipaino","259700","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0051.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","0,50","Venäläinen malli 1891 Rengasmerkki","lila / vihreä","Venäjän valtion arvopaperipaino","174400","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0052.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","1","Venäläinen malli 1891 Rengasmerkki","ruskea / oranssi","Venäjän valtion arvopaperipaino","70950","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0053.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","3,50","Venäläinen malli 1891 Rengasmerkki","musta / harmaa","Venäjän valtion arvopaperipaino","10000","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0054.jpg"
"vaakuna kaksoiskotka kotka venäläinen rengasmerkki 1891","01.05.1891","14.05.1911","7","Venäläinen malli 1891 Rengasmerkki","musta / keltainen","Venäjän valtion arvopaperipaino","13450","","rupla","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0055.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","14.05.1911","0,05","Venäläinen malli 1901","vihreä","Suomen leimakonttorin kirjapaino","200000","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0060.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","14.05.1911","0,02","Venäläinen malli 1901","keltainen","Oy F. Tilgmann","1001500","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0061.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","14.05.1911","0,05","Venäläinen malli 1901","vihreä","Oy F. Tilgmann","4850000","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0062.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","14.05.1911","0,10","Venäläinen malli 1901","karmiininpunainen","Oy F. Tilgmann","3827800","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0063.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","14.05.1911","0,20","Venäläinen malli 1901","sininen","Oy F. Tilgmann","7823200","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0064.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","01.06.1920","1","Venäläinen malli 1901","lila / vihreä","Oy F. Tilgmann","359000","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0065.jpg"
"vaakuna kaksoiskotka kotkamerkki 1901 venäläinen","14.01.1901","01.06.1920","10","Venäläinen malli 1901","musta / harmaa","Oy F. Tilgmann","13350","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0066.jpg"
"vaakuna kaksoiskotka kotkamerkki 1911 venäläinen","11.01.1911","01.06.1920","0,02","Venäläinen malli 1911","keltainen","Suomen leimakonttorin kirjapaino","6054600","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0075.jpg"
"vaakuna kaksoiskotka kotkamerkki 1911 venäläinen","27.03.1911","01.06.1920","0,05","Venäläinen malli 1911","vihreä","Suomen leimakonttorin kirjapaino","122744900","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0076.jpg"
"vaakuna kaksoiskotka kotkamerkki 1911 venäläinen","12.01.1911","01.06.1920","0,10","Venäläinen malli 1911","karmiininpunainen","Suomen leimakonttorin kirjapaino","128036800","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0077.jpg"
"vaakuna kaksoiskotka kotkamerkki 1911 venäläinen postimerkki","08.03.1911","01.06.1920","0,20","Venäläinen malli 1911","sininen","Suomen leimakonttorin kirjapaino","101163900","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0078.jpg"
"vaakuna kaksoiskotka kotkamerkki 1911 venäläinen postimerkki","11.01.1911","01.06.1920","0,40","Venäläinen malli 1911","lila / sininen","Suomen leimakonttorin kirjapaino","15122000","","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0079.jpg"
"vaakuna leijona saarinen 1917 saarismalli","01.10.1917","31.05.1920","0,05","Malli 1917 Saarinen","vihreä","Suomen leimakonttorin kirjapaino","60949200","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0081.jpg"
"vaakuna leijona saarinen 1917 saarismalli","15.10.1917","31.05.1920","0,10","Malli 1917 Saarinen","punainen","Suomen leimakonttorin kirjapaino","65762800","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0082.jpg"
"vaakuna leijona saarinen 1917 saarismalli","22.04.1918","31.05.1920","0,20","Malli 1917 Saarinen","keltainen","Suomen leimakonttorin kirjapaino","26929000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0083.jpg"
"vaakuna leijona saarinen 1917 saarismalli","25.10.1917","31.05.1920","0,25","Malli 1917 Saarinen","sininen","Suomen leimakonttorin kirjapaino","27669000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0084.jpg"
"vaakuna leijona saarinen 1917 saarismalli","18.12.1917","31.07.1925","0,40","Malli 1917 Saarinen","lila","Suomen leimakonttorin kirjapaino","64310000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0085.jpg"
"vaakuna leijona saarinen 1917 saarismalli","24.11.1917","31.05.1920","0,50","Malli 1917 Saarinen","ruskea","Suomen leimakonttorin kirjapaino","20946800","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0086.jpg"
"vaakuna leijona saarinen 1917 saarismalli","24.11.1917","31.12.1930","1","Malli 1917 Saarinen","punainen / musta","Suomen leimakonttorin kirjapaino","169412800","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0087.jpg"
"vaakuna leijona saarinen 1917 saarismalli","18.12.1917","31.12.1930","5","Malli 1917 Saarinen","lila/musta","Suomen leimakonttorin kirjapaino","24385000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0088.jpg"
"vaakuna leijona saarinen 1917 saarismalli","20.12.1917","31.12.1930","10","Malli 1917 Saarinen","ruskea / musta","Suomen leimakonttorin kirjapaino","2051200","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0089.jpg"
"vaakuna leijona vaasa","05.03.1918","31.05.1920","0,05","Vaasan malli 1918","vihreä","Julius Björkells Litografiska Tryckeri","3100000","Matti Björklund (Visanti)","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0090.jpg"
"vaakuna leijona vaasa","05.03.1918","31.05.1920","0,10","Vaasan malli 1918","punainen","Julius Björkells Litografiska Tryckeri","6000000","Matti Björklund (Visanti)","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0091.jpg"
"vaakuna leijona vaasa","07.03.1918","30.04.1923","0,30","Vaasan malli 1918","sininen","Julius Björkells Litografiska Tryckeri","1023000","Matti Björklund (Visanti)","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0092.jpg"
"vaakuna leijona vaasa","29.04.1918","30.04.1923","0,40","Vaasan malli 1918","violetti","Julius Björkells Litografiska Tryckeri","2000000","Matti Björklund (Visanti)","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0093.jpg"
"vaakuna leijona vaasa","08.05.1918","31.05.1920","0,50","Vaasan malli 1918","ruskea","Julius Björkells Litografiska Tryckeri","1000000","Matti Björklund (Visanti)","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0094.jpg"
"vaakuna leijona vaasa","11.03.1918","30.04.1923","0,70","Vaasan malli 1918","ruskea","Julius Björkells Litografiska Tryckeri","422000","Matti Björklund (Visanti)","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0095.jpg"
"vaakuna leijona vaasa","27.03.1918","30.04.1923","1","Vaasan malli 1918","punainen / musta","Julius Björkells Litografiska Tryckeri","1077000","Matti Björklund (Visanti)","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0096.jpg"
"vaakuna leijona vaasa","03.04.1918","30.04.1923","5","Vaasan malli 1918","violetti / musta","Julius Björkells Litografiska Tryckeri","43000","Matti Björklund (Visanti)","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0097.jpg"
"vaakuna leijona saarinen 1917 saarismalli","10.12.1919","31.07.1925","0,10 ","Malli 1917 Saarinen","vihreä","Suomen leimakonttorin kirjapaino","12030000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0098.jpg"
"vaakuna leijona saarinen 1917 saarismalli","10.12.1919","31.07.1925","0,20","Malli 1917 Saarinen","punainen","Suomen leimakonttorin kirjapaino","8729000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0099.jpg"
"vaakuna leijona saarinen 1917 saarismalli","04.12.1919","31.07.1925","0,50","Malli 1917 Saarinen","sininen","Suomen leimakonttorin kirjapaino","5484000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0100.jpg"
"vaakuna leijona saarinen 1917 saarismalli","09.12.1919","31.07.1925","0,75","Malli 1917 Saarinen","keltainen","Suomen leimakonttorin kirjapaino","6700000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0101.jpg"
"vaakuna leijona saarinen 1917 saarismalli","23.12.1919","31.12.1930","0,05","Malli 1917 Saarinen","harmaa","Suomen leimakonttorin kirjapaino","43075000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0102.jpg"
